instrument 9  start 18.23820  duration 0.00000  amplitude 59  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.23820  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.23820  duration 0.00000  amplitude 60  pitch 70.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.25070  duration 0.00000  amplitude 60  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.25070  duration 0.00000  amplitude 0  pitch 6.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.25070  duration 0.01250  amplitude 61  pitch 71.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.26320  duration 0.01250  amplitude 61  pitch 68.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.27570  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.27570  duration 0.00000  amplitude 60  pitch 70.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.27570  duration 0.00000  amplitude 60  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.27571  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.27571  duration 0.01250  amplitude 59  pitch 70.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.28820  duration 0.01250  amplitude 59  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.30070  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.30070  duration 0.00000  amplitude 58  pitch 70.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.31320  duration 0.00000  amplitude 58  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.31320  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.31320  duration 0.00000  amplitude 57  pitch 70.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.31320  duration 0.00000  amplitude 57  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.31320  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.31320  duration 0.01250  amplitude 56  pitch 70.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.31320  duration 0.01250  amplitude 56  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.32570  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.32570  duration 0.01250  amplitude 55  pitch 70.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.32570  duration 0.01250  amplitude 55  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.33820  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.33820  duration 0.00000  amplitude 54  pitch 70.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.33821  duration 0.00000  amplitude 54  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.33821  duration 0.00000  amplitude 0  pitch 6.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.33821  duration 0.00000  amplitude 53  pitch 71.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.33821  duration 0.00000  amplitude 53  pitch 68.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.33821  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.33821  duration 0.00000  amplitude 52  pitch 70.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.35071  duration 0.00000  amplitude 52  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.35071  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.35071  duration 0.01250  amplitude 51  pitch 70.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.35071  duration 0.01250  amplitude 51  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.36321  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.36321  duration 0.01250  amplitude 50  pitch 70.00000  channel 0 ;   Player 1_70148393301380  
